fulfillmentId,lineItems[0].lineItemId,orderId,shipmentTrackingNumber,shippedDate,shippingCarrierCode,shippingServiceCode
9434608106244525778205,10076893376605,05-13913-57535,9434608106244525778205,2025-12-01T17:58:48.000Z,USPS,USPSParcel
9434608106244525778731,10077525449019,19-13893-50212,9434608106244525778731,2025-12-01T17:58:50.000Z,USPS,USPSParcel
9434608106244525778274,10076725917808,08-13908-52197,9434608106244525778274,2025-12-01T17:58:48.000Z,USPS,USPSParcel
9434608106245551136069,10081837144821,21-13890-16493,9434608106245551136069,2025-12-01T17:58:49.000Z,USPS,USPSParcel
9434608106245551135864,10077598291510,10-13905-42135,9434608106245551135864,2025-12-01T17:58:49.000Z,USPS,USPSParcel
