buyerAvailableOptions[0].actionType,buyerAvailableOptions[0].actionURL,buyerLoginName,buyerResponseDue.activityDue,buyerResponseDue.respondByDate.value,buyerTotalRefund.actualRefundAmount.currency,buyerTotalRefund.actualRefundAmount.value,buyerTotalRefund.estimatedRefundAmount.currency,buyerTotalRefund.estimatedRefundAmount.value,creationInfo.comments.content,creationInfo.creationDate.value,creationInfo.item.itemId,creationInfo.item.returnQuantity,creationInfo.item.transactionId,creationInfo.reason,creationInfo.reasonType,creationInfo.type,currentType,escalationInfo.buyerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.eligible,escalationInfo.sellerEscalationEligibilityInfo.endTime.value,escalationInfo.sellerEscalationEligibilityInfo.startTime.value,orderId,returnId,returnPolicy.rmarequired,sellerAvailableOptions[0].actionType,sellerAvailableOptions[0].actionURL,sellerLoginName,sellerResponseDue.activityDue,sellerResponseDue.respondByDate.value,sellerTotalRefund.actualRefundAmount.currency,sellerTotalRefund.actualRefundAmount.value,sellerTotalRefund.estimatedRefundAmount.currency,sellerTotalRefund.estimatedRefundAmount.value,state,status,timeoutDate.value
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304911789,7654232007,NOTIFIED_SHIPPED,2025-11-26T07:59:59.000Z,USD,24.67,USD,24.67,,2025-11-05T04:14:27.000Z,404694911932,1,10076581122216,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,16-13739-72060,5304911789,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304911789,espartsplus,SELLER_ISSUE_REFUND,2025-11-19T07:59:59.000Z,USD,19.0,USD,23.0,CLOSED,CLOSED,2025-12-11T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304987510,ccboykins74clifford,BUYER_ESCALATE,2025-12-10T07:59:59.000Z,USD,55.35,USD,55.35,Hub height on spacer is Not tall enough ,2025-11-06T00:28:15.000Z,403446448797,1,10075858596624,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,24-13759-40533,5304987510,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304987510,espartsplus,SELLER_ISSUE_REFUND,2025-11-20T07:59:59.000Z,USD,51.49,USD,51.49,CLOSED,CLOSED,2025-12-12T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304995802,johguillor_8,NOTIFIED_SHIPPED,2025-11-26T07:59:59.000Z,,,USD,17.67,,2025-11-06T04:08:51.000Z,404482870406,1,10076024587101,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,01-13790-90124,5304995802,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5304995802,espartsplus,SELLER_PROVIDE_LABEL,2025-12-03T07:59:59.000Z,,,USD,15.99,CLOSED,CLOSED,2025-12-12T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.ca/rtn/Return/ReturnsDetail?returnId=5305042941,lotarh,NOTIFIED_SHIPPED,2025-11-22T04:59:59.000Z,,,USD,54.59,,2025-11-06T18:00:43.000Z,403441086876,1,10075718116024,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,24-13734-82922,5305042941,True,,,espartsplus,SELLER_APPROVE_REQUEST,2025-11-28T04:59:59.000Z,,,USD,51.99,CLOSED,CLOSED,2025-12-12T04:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305062711,packinship,BUYER_ESCALATE,2025-12-10T07:59:59.000Z,USD,23.58,USD,23.58,Description state it fit 2021 Audi etron Sportback but bolt head is too small to hold wheel. see attached photos.,2025-11-06T21:50:19.000Z,405064070639,1,10076810173312,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,12-13774-38967,5305062711,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305062711,espartsplus,SELLER_ISSUE_REFUND,2025-11-20T07:59:59.000Z,USD,21.99,USD,21.99,CLOSED,CLOSED,2025-12-13T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305152457,ctrpwr2013,NOTIFIED_SHIPPED,2025-11-26T07:59:59.000Z,USD,21.94,USD,21.94,,2025-11-07T23:39:46.000Z,404200446525,1,10076157661605,NO_LONGER_NEED_ITEM,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,05-13784-92870,5305152457,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305152457,espartsplus,SELLER_ISSUE_REFUND,2025-11-19T07:59:59.000Z,USD,15.99,USD,19.99,CLOSED,CLOSED,2025-12-16T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305157387,elimec,NOTIFIED_SHIPPED,2025-11-26T07:59:59.000Z,USD,56.02,USD,56.02,I ordered 10mm spacers these are 12mm ,2025-11-08T01:31:31.000Z,403444345567,1,10081095287207,NOT_AS_DESCRIBED,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,07-13792-16653,5305157387,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305157387,espartsplus,SELLER_ISSUE_REFUND,2025-11-18T07:59:59.000Z,USD,51.99,USD,51.99,CLOSED,CLOSED,2025-12-16T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305208752,joarro8202,BUYER_ESCALATE,2025-12-23T07:59:59.000Z,USD,36.12,USD,36.12,These do not fit the 2024 gx550 premium +. The lug bolt is much thicker than what these lug nuts will fit. ,2025-11-08T19:34:18.000Z,404804599891,1,10079760382727,DOES_NOT_FIT,SNAD,MONEY_BACK,MONEY_BACK,False,False,,,27-13691-85456,5305208752,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305208752,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,32.99,USD,32.99,CLOSED,CLOSED,2025-12-17T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305229585,loki1374,BUYER_ESCALATE,2025-12-16T07:59:59.000Z,USD,19.78,USD,22.99,,2025-11-09T02:49:52.000Z,404595509649,1,10075837442008,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,08-13753-32983,5305229585,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305229585,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,18.49,USD,21.49,CLOSED,CLOSED,2025-12-17T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305348172,damiannnnnn,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,21.59,USD,21.59,,2025-11-10T21:53:40.000Z,404200451103,1,10076847628315,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,15-13783-26581,5305348172,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305348172,espartsplus,SELLER_ISSUE_REFUND,2025-11-27T07:59:59.000Z,USD,15.99,USD,19.99,CLOSED,CLOSED,2025-12-17T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305358173,seun_884918,BUYER_ESCALATE,2025-12-18T07:59:59.000Z,USD,22.03,USD,22.03,,2025-11-11T00:06:16.000Z,405011152537,1,10076350525402,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,02-13811-50349,5305358173,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305358173,espartsplus,SELLER_ISSUE_REFUND,2025-11-29T07:59:59.000Z,USD,19.99,USD,19.99,CLOSED,CLOSED,2025-12-17T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305370090,tazzuriel,NOTIFIED_SHIPPED,2025-12-03T07:59:59.000Z,USD,75.22,USD,75.22,,2025-11-11T04:23:30.000Z,403541784199,1,10076656238214,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,14-13754-92922,5305370090,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305370090,espartsplus,SELLER_ISSUE_REFUND,2025-11-27T07:59:59.000Z,USD,69.49,USD,69.49,CLOSED,CLOSED,2025-12-17T07:59:59.999Z
BUYER_PRINT_SHIPPING_LABEL,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305399655,loki1374,BUYER_ESCALATE,2025-12-16T07:59:59.000Z,USD,18.19,USD,21.4,,2025-11-11T15:15:40.000Z,404595509649,1,10075483043525,WRONG_SIZE,REMORSE,MONEY_BACK,MONEY_BACK,False,False,,,25-13707-49786,5305399655,True,OTHER,https://www.ebay.com/rtn/Return/ReturnsDetail?returnId=5305399655,espartsplus,SELLER_ISSUE_REFUND,2025-12-04T07:59:59.000Z,USD,17.0,USD,20.0,CLOSED,CLOSED,2025-12-18T07:59:59.999Z
