buyer,claimAmount.currency,claimAmount.value,creationDate.value,inquiryId,inquiryStatusEnum,itemId,lastModifiedDate.value,respondByDate.value,seller,transactionId
rus-8837,USD,69.49,2025-12-31T14:43:51.000Z,5371187512,CLOSED,403541784199,2026-01-06T17:54:23.000Z,2026-02-02T07:00:00.000Z,espartsplus,10077177465304
2014_haduo,USD,19.99,2025-12-25T00:46:16.000Z,5370885385,CLOSED,404200446525,2025-12-25T07:47:07.000Z,2026-01-27T07:00:00.000Z,espartsplus,10077751170415
richarfeli-3,USD,29.99,2025-11-25T10:22:50.000Z,5368833679,CLOSED,406086250244,2025-11-26T10:33:35.000Z,2025-12-26T07:00:00.000Z,espartsplus,10077301282217
blizzard2k5,USD,79.99,2025-11-02T08:04:36.000Z,5367472251,CLOSED,404686865835,2025-11-18T17:56:03.000Z,2025-12-03T07:00:00.000Z,espartsplus,10075611614524
aa5703,USD,30.99,2025-11-01T15:19:38.000Z,5367446513,CLOSED,405020721973,2025-12-04T19:58:00.000Z,2025-12-03T07:00:00.000Z,espartsplus,10076459649311
jackson_ola,USD,21.99,2025-10-30T20:28:26.000Z,5367349903,CLOSED,403767269992,2025-10-30T21:02:16.000Z,2025-12-02T07:00:00.000Z,espartsplus,10076548326514
mi-643143,USD,16.99,2025-10-21T15:54:08.000Z,5366790623,CLOSED,404628561401,2025-10-22T09:30:24.000Z,2025-11-20T07:00:00.000Z,espartsplus,10075264877309
darko.602,USD,114.49,2025-10-20T18:40:29.000Z,5366729328,CLOSED,403541791679,2025-10-24T11:43:50.000Z,2025-11-19T07:00:00.000Z,espartsplus,10076149158617
