cancelDetail.activityHistories[0].actionDate.value,cancelDetail.activityHistories[0].activityParty,cancelDetail.activityHistories[0].activityType,cancelDetail.activityHistories[0].stateFrom,cancelDetail.activityHistories[0].stateTo,cancelDetail.buyerLoginName,cancelDetail.cancelCloseDate.value,cancelDetail.cancelCloseReason,cancelDetail.cancelCommentHidden,cancelDetail.cancelCommentReinstated,cancelDetail.cancelId,cancelDetail.cancelReason,cancelDetail.cancelRequestDate.value,cancelDetail.cancelState,cancelDetail.cancelStatus,cancelDetail.lastModifiedDate.value,cancelDetail.legacyOrderId,cancelDetail.lineItems[0].cancelQuantity,cancelDetail.lineItems[0].itemId,cancelDetail.lineItems[0].itemTitle,cancelDetail.lineItems[0].relistEligibilityCodeEnum,cancelDetail.lineItems[0].relistedItemId,cancelDetail.lineItems[0].transactionId,cancelDetail.marketplaceId,cancelDetail.moneyMovementInfo[0].actualAmount.currency,cancelDetail.moneyMovementInfo[0].actualAmount.value,cancelDetail.moneyMovementInfo[0].creationDate.value,cancelDetail.moneyMovementInfo[0].moneyMovementType,cancelDetail.moneyMovementInfo[0].requestedAmount.currency,cancelDetail.moneyMovementInfo[0].requestedAmount.value,cancelDetail.moneyMovementInfo[0].status,cancelDetail.partialOrderType,cancelDetail.paymentStatus,cancelDetail.refundInfo.actualRefundDetail.actualRefund.feeCreditAmount.currency,cancelDetail.refundInfo.actualRefundDetail.actualRefund.feeCreditAmount.value,cancelDetail.refundInfo.actualRefundDetail.actualRefund.totalAmount.currency,cancelDetail.refundInfo.actualRefundDetail.actualRefund.totalAmount.value,cancelDetail.refundInfo.actualRefundDetail.fundings[0].amount.currency,cancelDetail.refundInfo.actualRefundDetail.fundings[0].amount.value,cancelDetail.refundInfo.actualRefundDetail.fundings[0].date.value,cancelDetail.refundInfo.actualRefundDetail.fundings[0].fundingSource.type,cancelDetail.refundInfo.actualRefundDetail.fundings[0].fundingStatus,cancelDetail.refundInfo.actualRefundDetail.netChargeAmount.currency,cancelDetail.refundInfo.actualRefundDetail.netChargeAmount.value,cancelDetail.refundInfo.actualRefundDetail.outstandingAmount.currency,cancelDetail.refundInfo.actualRefundDetail.outstandingAmount.value,cancelDetail.refundInfo.actualRefundDetail.refundIssuedDate.value,cancelDetail.requestRefundAmount.currency,cancelDetail.requestRefundAmount.value,cancelDetail.requestorType,cancelDetail.respondType,cancelDetail.sellerLoginName,cancelDetail.sellerResponseDueDate.value
2025-11-01T20:36:51.000Z,BUYER,BUYER_CREATE_CANCEL,INITIAL,APPROVAL_PENDING,rhdz214,2025-11-01T21:25:05.000Z,FULL_REFUNDED,True,True,5417933685,ORDER_MISTAKE,2025-11-01T20:36:52.000Z,CLOSED,CANCEL_CLOSED_WITH_REFUND,2025-11-01T21:25:05.000Z,14-13768-39522,1,404738438335,Black 14x1.5 Wheel Lock Set Lug Nut For GMC Sierra 1500 Yukon Canyon Savana,INELIGIBLE,0,10076739055114,EBAY_US,USD,20.39,2025-11-01T21:18:58.000Z,SELLER_VOLUNTARY_REFUND,USD,20.39,SUCCESS,FULL_ORDER,ONLINE_PAID,USD,2.64,USD,19.99,USD,17.35,2025-11-01T21:18:58.719Z,AVAILABLE_FUNDS,FUNDED,USD,17.35,USD,0.0,2025-11-01T21:18:58.719Z,USD,19.99,BUYER,SELLER,espartsplus,2025-11-05T07:00:00.000Z
2025-11-01T21:03:12.000Z,BUYER,BUYER_CREATE_CANCEL,INITIAL,APPROVAL_PENDING,adamadalrit,2025-11-01T21:27:49.000Z,FULL_REFUNDED,True,True,5417935643,ORDER_MISTAKE,2025-11-01T21:03:13.000Z,CLOSED,CANCEL_CLOSED_WITH_REFUND,2025-11-01T21:27:49.000Z,05-13784-46369,1,404738425951,Black 14x1.5 Wheel Lock Set Lug Nut Fit Ford Lincoln Chevy Buick Cadillac Tesla,INELIGIBLE,0,10076154969905,EBAY_US,USD,20.39,2025-11-01T21:17:20.000Z,SELLER_VOLUNTARY_REFUND,USD,20.39,SUCCESS,FULL_ORDER,ONLINE_PAID,USD,2.66,USD,19.99,USD,17.33,2025-11-01T21:17:21.141Z,AVAILABLE_FUNDS,FUNDED,USD,17.33,USD,0.0,2025-11-01T21:17:21.141Z,USD,19.99,BUYER,SELLER,espartsplus,2025-11-05T07:00:00.000Z
2025-11-01T23:17:29.000Z,BUYER,BUYER_CREATE_CANCEL,INITIAL,APPROVAL_PENDING,heriberto813,2025-11-02T23:20:40.000Z,FULL_REFUNDED,True,True,5417944555,ORDER_MISTAKE,2025-11-01T23:17:30.000Z,CLOSED,CANCEL_CLOSED_WITH_REFUND,2025-11-02T23:20:40.000Z,20-13763-71772,1,404628751432,"32 Black Bulge Acorn Lug Nut 14x1.5 1.8"" Tall Fit Chevy Silverado Ford F250 F350",INELIGIBLE,0,10075923603720,EBAY_US,USD,30.39,2025-11-02T23:14:30.000Z,SELLER_VOLUNTARY_REFUND,USD,30.39,SUCCESS,FULL_ORDER,ONLINE_PAID,USD,3.74,USD,29.99,USD,26.25,2025-11-02T23:14:30.866Z,AVAILABLE_FUNDS,FUNDED,USD,26.25,USD,0.0,2025-11-02T23:14:30.866Z,USD,29.99,BUYER,SELLER,espartsplus,2025-11-05T07:00:00.000Z
2025-11-08T03:04:50.000Z,BUYER,BUYER_CREATE_CANCEL,INITIAL,APPROVAL_PENDING,bcwkr,2025-11-08T22:00:34.000Z,FULL_REFUNDED,True,True,5418639998,UNKNOWN,2025-11-08T03:04:50.000Z,CLOSED,CANCEL_CLOSED_WITH_REFUND,2025-11-08T22:00:34.000Z,19-13792-13569,1,404804604959,20pc Black M12X1.5 OEM Lug Nut Wheel Lock Combo Mag Seat Fit Toyota Lexus Scion,INELIGIBLE,0,10076891590619,EBAY_US,USD,30.39,2025-11-08T21:51:37.000Z,SELLER_VOLUNTARY_REFUND,USD,30.39,SUCCESS,FULL_ORDER,ONLINE_PAID,USD,3.75,USD,29.99,USD,26.24,2025-11-08T21:51:38.303Z,AVAILABLE_FUNDS,FUNDED,USD,26.24,USD,0.0,2025-11-08T21:51:38.303Z,USD,29.99,BUYER,SELLER,espartsplus,2025-11-11T07:00:00.000Z
2025-11-10T05:10:18.000Z,BUYER,BUYER_CREATE_CANCEL,INITIAL,APPROVAL_PENDING,anthony_503_15,2025-11-10T10:43:24.000Z,FULL_REFUNDED,True,True,5418843151,WRONG_SHIPPING_ADDRESS,2025-11-10T05:10:19.000Z,CLOSED,CANCEL_CLOSED_WITH_REFUND,2025-11-10T10:43:24.000Z,05-13820-59052,1,404455741972,Chrome 14x1.5 Wheel Lock Set Lug Nut For Chevy Colorado Silverado Suburban Tahoe,INELIGIBLE,0,10076362569205,EBAY_US,USD,20.39,2025-11-10T10:34:10.000Z,SELLER_VOLUNTARY_REFUND,USD,20.39,SUCCESS,FULL_ORDER,ONLINE_PAID,USD,2.7,USD,19.99,USD,17.29,2025-11-10T10:34:10.724Z,AVAILABLE_FUNDS,FUNDED,USD,17.29,USD,0.0,2025-11-10T10:34:10.724Z,USD,19.99,BUYER,SELLER,espartsplus,2025-11-13T07:00:00.000Z
