amount.currency,amount.value,availableChoices,buyerUsername,closedDate,lineItems[0].itemId,lineItems[0].lineItemId,openDate,orderId,paymentDisputeId,paymentDisputeStatus,reason,resolution.protectedAmount.currency,resolution.protectedAmount.value,resolution.protectionStatus,resolution.reasonForClosure,revision,sellerResponse
USD,37.49,[],ritmha-0,2026-01-03T17:26:19.000Z,404804460535,10075595658222,2025-12-14T12:01:10.000Z,22-13657-31211,5009261602,CLOSED,CREDIT_NOT_PROCESSED,USD,37.49,FULLY_PROTECTED,SELLER_LOST,4,SELLER_RESPONSE_OVERDUE
USD,51.49,[],damcgo4540,2025-11-19T20:19:24.000Z,403446486252,10074082641517,2025-10-31T18:02:10.000Z,17-13336-07206,5009060673,CLOSED,FRAUD,USD,51.49,FULLY_PROTECTED,SELLER_LOST,2,
