actionDeadlines.daysForBuyerToProvideProofOfShipment,actionDeadlines.daysToExpireWithResponse,actionDeadlines.daysToExpireWithoutResponse,actionDeadlines.daysToReturnItem,actionDeadlines.maxDaysToFileClaim,appealDetails.appealCloseReasonEnum,appealDetails.appealStatus,appealDetails.appealStatusEnum,appealDetails.eligibleForAppeal,buyer,buyerClosureReason,buyerOutcome,caseContentOnHold,caseDetails.buyerFinalAcceptResolution,caseDetails.buyerInitExpectResolution,caseDetails.creationDate.value,caseDetails.escalationDate.value,caseDetails.expirationDate.value,caseDetails.paypalPaid,caseDetails.refundAmounts.buyerFinalAcceptRefundAmt.currency,caseDetails.refundAmounts.buyerFinalAcceptRefundAmt.value,caseDetails.refundAmounts.buyerInitExpectRefundAmt.currency,caseDetails.refundAmounts.buyerInitExpectRefundAmt.value,caseDetails.refundDeadlineDate.value,caseDetails.refundType,caseHistoryDetails.buyerrequested,caseHistoryDetails.history[0].action,caseHistoryDetails.history[0].actor,caseHistoryDetails.history[0].date.value,caseHistoryDetails.history[0].description,caseHistoryDetails.shipmentTrackingDetails.currentStatus,caseHistoryDetails.shipmentTrackingDetails.trackingNumber,caseHistoryDetails.shipmentTrackingDetails.trackingURL,caseId,caseQuantity,caseType,claimAmount.currency,claimAmount.value,creationDate.value,escalateReason,fsnadnoSellerFault,initiator,itemId,lastModifiedDate.value,nextSteps,returnId,seller,sellerClosureReason,sellerOutcome,shippingFee.currency,shippingFee.value,status,transactionId
-1,21,21,3,30,OTHER,OTHER,OTHER,False,abals_31,UNDEFINED,LOSE,False,Unknown,BOR4 -Other (alternate methods of resolution),2026-01-15T20:49:25.000Z,,2026-02-13T07:00:00.000Z,False,USD,0.0,USD,0.0,2026-01-18T21:00:50.000Z,OTHER,Buyer has not received the item and wants another solution.,Return Center opens eBP claim,SELLER,2026-01-15T20:49:25.000Z,,MANIFEST,9302210584700057864461,http://shiptrack.qa.ebay.com/ws/eBayISAPI.dll?ViewShipmentTrackingDetails&isVOD=1&buildDataModel=1&isSeller=1&buyerid=2627618044&sellerid=2304800813&transid1=10077384523023&item1=404694911932&showOverlay=-1&cnt=1&hideborder=1&supportReturn=1&tid1=9302210584700057864461&carr1=2,5372159715,1,RETURN,USD,23.0,2026-01-15T20:49:25.000Z,,False,SELLER,404694911932,2026-01-15T21:00:50.000Z,[],5308571365,espartsplus,UNDEFINED,WIN,USD,0.0,CS_CLOSED,10077384523023
-1,21,21,3,30,OTHER,OTHER,OTHER,False,pasty-11,UNDEFINED,LOSE,False,Unknown,BOR4 -Other (alternate methods of resolution),2026-01-15T20:24:18.000Z,,2026-02-13T07:00:00.000Z,False,USD,0.0,USD,0.0,2026-01-18T20:35:13.000Z,OTHER,Buyer has not received the item and wants another solution.,Return Center opens eBP claim,SELLER,2026-01-15T20:24:18.000Z,,MANIFEST,9302210582100053631906,http://shiptrack.qa.ebay.com/ws/eBayISAPI.dll?ViewShipmentTrackingDetails&isVOD=1&buildDataModel=1&isSeller=1&buyerid=2563662924&sellerid=2304800813&transid1=10077364922005&item1=404097713458&showOverlay=-1&cnt=1&hideborder=1&supportReturn=1&tid1=9302210582100053631906&carr1=2,5372157244,1,RETURN,USD,20.99,2026-01-15T20:24:18.000Z,,False,SELLER,404097713458,2026-01-15T20:35:13.000Z,[],5308517930,espartsplus,UNDEFINED,WIN,USD,0.0,CS_CLOSED,10077364922005
-1,21,21,3,30,OTHER,OTHER,OTHER,False,cardinitized,UNDEFINED,LOSE,False,Unknown,BOR4 -Other (alternate methods of resolution),2026-01-13T20:53:25.000Z,,2026-02-11T07:00:00.000Z,False,USD,0.0,USD,0.0,2026-01-16T21:04:22.000Z,OTHER,Buyer has not received the item and wants another solution.,Return Center opens eBP claim,SELLER,2026-01-13T20:53:25.000Z,,MANIFEST,9302210584700057550685,http://shiptrack.qa.ebay.com/ws/eBayISAPI.dll?ViewShipmentTrackingDetails&isVOD=1&buildDataModel=1&isSeller=1&buyerid=1328717588&sellerid=2304800813&transid1=10077018875108&item1=405034234681&showOverlay=-1&cnt=1&hideborder=1&supportReturn=1&tid1=9302210584700057550685&carr1=2,5372001441,1,RETURN,USD,56.04,2026-01-13T20:53:25.000Z,,False,SELLER,405034234681,2026-01-13T21:04:22.000Z,[],5308415153,espartsplus,UNDEFINED,WIN,USD,0.0,CS_CLOSED,10077018875108
-1,21,21,3,30,OTHER,OTHER,OTHER,False,whiteswheels,UNDEFINED,LOSE,False,Unknown,BOR4 -Other (alternate methods of resolution),2026-01-13T20:22:54.000Z,,2026-02-11T07:00:00.000Z,False,USD,0.0,USD,0.0,2026-01-16T20:34:20.000Z,OTHER,Buyer has not received the item and wants another solution.,Return Center opens eBP claim,SELLER,2026-01-13T20:22:54.000Z,,MANIFEST,9302210582100053309607,http://shiptrack.qa.ebay.com/ws/eBayISAPI.dll?ViewShipmentTrackingDetails&isVOD=1&buildDataModel=1&isSeller=1&buyerid=560300129&sellerid=2304800813&transid1=10077175065510&item1=404486000139&showOverlay=-1&cnt=1&hideborder=1&supportReturn=1&tid1=9302210582100053309607&carr1=2,5371996087,1,RETURN,USD,19.99,2026-01-13T20:22:54.000Z,,False,SELLER,404486000139,2026-01-13T20:34:20.000Z,[],5308236607,espartsplus,UNDEFINED,WIN,USD,0.0,CS_CLOSED,10077175065510
-1,21,21,3,30,OTHER,OTHER,OTHER,False,morma3059,UNDEFINED,LOSE,False,Unknown,BOR1 - I want a full refund (without returning the item i.e. not received yet),2026-01-01T18:37:44.000Z,2026-01-09T06:14:42.000Z,2026-01-08T08:00:00.000Z,False,USD,0.0,USD,0.0,2026-01-12T06:27:13.000Z,OTHER,Buyer has not received the item and wants a full refund.,A CPS case was created.,BUYER,2026-01-01T18:37:44.000Z,The item showed as delivered yesterday morning but however I didn’t get anything and waited a full 25 hours. ,MANIFEST,9302010584700060205301,http://shiptrack.qa.ebay.com/ws/eBayISAPI.dll?ViewShipmentTrackingDetails&isVOD=1&buildDataModel=1&isSeller=1&buyerid=2372466492&sellerid=2304800813&transid1=10077112727426&item1=405064060519&showOverlay=-1&cnt=1&hideborder=1&supportReturn=1&tid1=9302010584700060205301&carr1=2,5371234891,1,ITEM_NOT_RECEIVED,USD,25.49,2026-01-01T18:37:44.000Z,SHIPPED_ITEM,False,BUYER,405064060519,2026-01-09T06:27:13.000Z,[],-1,espartsplus,UNDEFINED,WIN,USD,0.0,CS_CLOSED,10077112727426
